lat,lon,time,kph,km
43.518686,1.507109,"2013/12/08 15:16:13",17.5,0.357064
43.518647,1.507137,"2013/12/08 15:16:14",17.5,0.361932
43.518609,1.507166,"2013/12/08 15:16:15",17.5,0.3668
43.51857,1.507194,"2013/12/08 15:16:16",17.5,0.371668
43.518532,1.507222,"2013/12/08 15:16:17",17.5,0.376536
43.518495,1.507245,"2013/12/08 15:16:18",15.9,0.380958
43.518459,1.507267,"2013/12/08 15:16:19",15.9,0.385379
43.518422,1.507289,"2013/12/08 15:16:20",15.9,0.3898
43.518386,1.507311,"2013/12/08 15:16:21",15.9,0.394222
43.51835,1.507333,"2013/12/08 15:16:22",15.9,0.398643
43.518324,1.507366,"2013/12/08 15:16:23",14.2,0.402587
43.518298,1.5074,"2013/12/08 15:16:24",14.2,0.406531
43.518273,1.507434,"2013/12/08 15:16:25",14.2,0.410474
43.518247,1.507467,"2013/12/08 15:16:26",14.2,0.414418
43.518221,1.507501,"2013/12/08 15:16:27",14.2,0.418362
43.518195,1.507534,"2013/12/08 15:16:28",14.2,0.422306
43.51817,1.507568,"2013/12/08 15:16:29",14.2,0.426249
43.518144,1.507602,"2013/12/08 15:16:30",14.2,0.430193
43.518118,1.507635,"2013/12/08 15:16:31",14.2,0.434137
43.518093,1.507669,"2013/12/08 15:16:32",14.2,0.438081
43.518067,1.507702,"2013/12/08 15:16:33",14.2,0.442024
43.51802,1.50773,"2013/12/08 15:16:34",20.3,0.447674
43.517973,1.507757,"2013/12/08 15:16:35",20.3,0.453324
43.517927,1.507785,"2013/12/08 15:16:36",20.3,0.458973
43.517901,1.507799,"2013/12/08 15:16:37",11.2,0.462084
43.517875,1.507814,"2013/12/08 15:16:38",11.2,0.465196
43.517849,1.507829,"2013/12/08 15:16:39",11.2,0.468307
43.517824,1.507844,"2013/12/08 15:16:40",11.2,0.471418
43.517798,1.507859,"2013/12/08 15:16:41",11.2,0.474529
43.517772,1.507874,"2013/12/08 15:16:42",11.2,0.477641
43.517746,1.507889,"2013/12/08 15:16:43",11.2,0.480752
43.517763,1.507932,"2013/12/08 15:16:44",14.1,0.484677
43.51778,1.507975,"2013/12/08 15:16:45",14.1,0.488602
43.517796,1.508018,"2013/12/08 15:16:46",14.1,0.492526
43.517813,1.50806,"2013/12/08 15:16:47",14.1,0.496451
43.517829,1.508103,"2013/12/08 15:16:48",14.1,0.500376
43.517826,1.508162,"2013/12/08 15:16:49",17,0.50511
43.517823,1.50822,"2013/12/08 15:16:50",17,0.509844
43.51782,1.508279,"2013/12/08 15:16:51",17,0.514578
43.517817,1.508337,"2013/12/08 15:16:52",17,0.519312
43.517814,1.508396,"2013/12/08 15:16:53",17,0.524047
43.517811,1.508454,"2013/12/08 15:16:54",17,0.528781
43.517808,1.508513,"2013/12/08 15:16:55",17,0.533515
43.517811,1.508568,"2013/12/08 15:16:56",16.1,0.537988
43.517814,1.508623,"2013/12/08 15:16:57",16.1,0.542461
43.517817,1.508678,"2013/12/08 15:16:58",16.1,0.546934
43.51782,1.508734,"2013/12/08 15:16:59",16.1,0.551408
43.517823,1.508789,"2013/12/08 15:17:00",16.1,0.555881
43.517794,1.508839,"2013/12/08 15:17:01",18.7,0.561089
43.517765,1.50889,"2013/12/08 15:17:02",18.7,0.566297
43.517773,1.508944,"2013/12/08 15:17:03",16,0.570751
43.517782,1.508997,"2013/12/08 15:17:04",16,0.575206
43.51779,1.509051,"2013/12/08 15:17:05",16,0.579661
43.517799,1.509105,"2013/12/08 15:17:06",16,0.584116
43.517807,1.509159,"2013/12/08 15:17:07",16,0.58857
43.517816,1.509213,"2013/12/08 15:17:08",16,0.593025
43.517824,1.509267,"2013/12/08 15:17:09",16,0.59748
43.517832,1.509321,"2013/12/08 15:17:10",16,0.601934
43.517841,1.509375,"2013/12/08 15:17:11",16,0.606389
43.517849,1.509429,"2013/12/08 15:17:12",16,0.610844
43.517846,1.509481,"2013/12/08 15:17:13",15.2,0.615071
43.517843,1.509533,"2013/12/08 15:17:14",15.2,0.619299
43.51784,1.509586,"2013/12/08 15:17:15",15.2,0.623526
43.517836,1.509638,"2013/12/08 15:17:16",15.2,0.627753
43.51782,1.509696,"2013/12/08 15:17:17",18.2,0.632821
43.517803,1.509754,"2013/12/08 15:17:18",18.2,0.637888
43.517786,1.509813,"2013/12/08 15:17:19",18.2,0.642956
43.517769,1.509871,"2013/12/08 15:17:20",18.2,0.648023
43.517752,1.509929,"2013/12/08 15:17:21",18.2,0.653091
43.517725,1.509998,"2013/12/08 15:17:22",22.6,0.65937
43.517699,1.510066,"2013/12/08 15:17:23",22.6,0.665648
43.517672,1.510135,"2013/12/08 15:17:24",22.6,0.671927
43.517646,1.510204,"2013/12/08 15:17:25",22.6,0.678206
43.517622,1.510267,"2013/12/08 15:17:26",20.9,0.683998
43.517597,1.510331,"2013/12/08 15:17:27",20.9,0.68979
43.517573,1.510394,"2013/12/08 15:17:28",20.9,0.695581
43.517549,1.510458,"2013/12/08 15:17:29",20.9,0.701373
43.517524,1.510521,"2013/12/08 15:17:30",20.9,0.707165
43.5175,1.510584,"2013/12/08 15:17:31",20.9,0.712957
43.517476,1.510648,"2013/12/08 15:17:32",20.9,0.718748
43.517451,1.510711,"2013/12/08 15:17:33",20.9,0.72454
43.517426,1.510731,"2013/12/08 15:17:34",11.9,0.727839
43.5174,1.510751,"2013/12/08 15:17:35",11.9,0.731137
43.517374,1.510771,"2013/12/08 15:17:36",11.9,0.734436
43.517348,1.510791,"2013/12/08 15:17:37",11.9,0.737735
43.517322,1.510811,"2013/12/08 15:17:38",11.9,0.741033
43.517296,1.510831,"2013/12/08 15:17:39",11.9,0.744332
43.517271,1.510851,"2013/12/08 15:17:40",11.9,0.74763
43.517232,1.510866,"2013/12/08 15:17:41",16,0.752081
43.517193,1.51088,"2013/12/08 15:17:42",16,0.756531
43.517155,1.510895,"2013/12/08 15:17:43",16,0.760981
43.517116,1.51091,"2013/12/08 15:17:44",16,0.765431
43.517078,1.510924,"2013/12/08 15:17:45",16,0.769882
43.517039,1.510939,"2013/12/08 15:17:46",16,0.774332
43.517001,1.510953,"2013/12/08 15:17:47",16,0.778782
43.516962,1.510968,"2013/12/08 15:17:48",16,0.783232
43.516924,1.510983,"2013/12/08 15:17:49",16,0.787683
43.516885,1.510997,"2013/12/08 15:17:50",16,0.792133
43.516847,1.511012,"2013/12/08 15:17:51",16,0.796583
43.516808,1.511027,"2013/12/08 15:17:52",16,0.801034
43.516769,1.511031,"2013/12/08 15:17:53",15.8,0.805424
43.516729,1.511034,"2013/12/08 15:17:54",15.8,0.809814
43.51669,1.511038,"2013/12/08 15:17:55",15.8,0.814205
43.516651,1.511042,"2013/12/08 15:17:56",15.8,0.818595
43.516611,1.511046,"2013/12/08 15:17:57",15.8,0.822986
43.516572,1.51105,"2013/12/08 15:17:58",15.8,0.827376
43.516533,1.511054,"2013/12/08 15:17:59",15.8,0.831766
43.516493,1.511057,"2013/12/08 15:18:00",15.8,0.836157
43.516454,1.511061,"2013/12/08 15:18:01",15.8,0.840547
43.516415,1.511065,"2013/12/08 15:18:02",15.8,0.844938
43.516375,1.511069,"2013/12/08 15:18:03",15.8,0.849328
43.516336,1.511073,"2013/12/08 15:18:04",15.8,0.853718
43.516303,1.511089,"2013/12/08 15:18:05",14.2,0.857656
43.516269,1.511106,"2013/12/08 15:18:06",14.2,0.861594
43.516256,1.511148,"2013/12/08 15:18:07",13.4,0.865321
43.516243,1.511191,"2013/12/08 15:18:08",13.4,0.869048
43.51623,1.511233,"2013/12/08 15:18:09",13.4,0.872775
43.516216,1.511276,"2013/12/08 15:18:10",13.4,0.876503
43.516212,1.511325,"2013/12/08 15:18:11",14.6,0.880554
43.516208,1.511375,"2013/12/08 15:18:12",14.6,0.884606
43.516204,1.511425,"2013/12/08 15:18:13",14.6,0.888658
43.5162,1.511475,"2013/12/08 15:18:14",14.6,0.89271
43.516196,1.511525,"2013/12/08 15:18:15",14.6,0.896762
43.516192,1.511575,"2013/12/08 15:18:16",14.6,0.900814
43.516187,1.511625,"2013/12/08 15:18:17",14.6,0.904866
43.516183,1.511675,"2013/12/08 15:18:18",14.6,0.908918
43.516179,1.511724,"2013/12/08 15:18:19",14.6,0.91297
43.516175,1.511774,"2013/12/08 15:18:20",14.6,0.917022
43.516171,1.511824,"2013/12/08 15:18:21",14.6,0.921074
43.516167,1.511874,"2013/12/08 15:18:22",14.6,0.925126
43.516163,1.511924,"2013/12/08 15:18:23",14.6,0.929178
43.516154,1.511977,"2013/12/08 15:18:24",15.8,0.933573
43.516145,1.51203,"2013/12/08 15:18:25",15.8,0.937968
43.516136,1.512083,"2013/12/08 15:18:26",15.8,0.942362
43.516127,1.512136,"2013/12/08 15:18:27",15.8,0.946757
43.516119,1.512189,"2013/12/08 15:18:28",15.8,0.951152
43.51611,1.512242,"2013/12/08 15:18:29",15.8,0.955547
43.516101,1.512295,"2013/12/08 15:18:30",15.8,0.959942
43.516092,1.512348,"2013/12/08 15:18:31",15.8,0.964337
43.516083,1.512401,"2013/12/08 15:18:32",15.8,0.968731
43.516074,1.512455,"2013/12/08 15:18:33",15.8,0.973126
43.516066,1.512508,"2013/12/08 15:18:34",15.8,0.977521
43.516057,1.512561,"2013/12/08 15:18:35",15.8,0.981916
43.516048,1.512614,"2013/12/08 15:18:36",15.8,0.986311
43.516039,1.512667,"2013/12/08 15:18:37",15.8,0.990705
43.516028,1.512721,"2013/12/08 15:18:38",16.3,0.995246
43.516016,1.512775,"2013/12/08 15:18:39",16.3,0.999786
43.516005,1.512829,"2013/12/08 15:18:40",16.3,1.004326
43.515994,1.512883,"2013/12/08 15:18:41",16.3,1.008866
43.515982,1.512937,"2013/12/08 15:18:42",16.3,1.013407
43.515971,1.512991,"2013/12/08 15:18:43",16.3,1.017947
43.515959,1.513045,"2013/12/08 15:18:44",16.3,1.022487
43.515948,1.513099,"2013/12/08 15:18:45",16.3,1.027027
43.515937,1.513153,"2013/12/08 15:18:46",16.3,1.031567
43.515925,1.513207,"2013/12/08 15:18:47",16.3,1.036108
43.515914,1.513261,"2013/12/08 15:18:48",16.3,1.040648
43.515902,1.513315,"2013/12/08 15:18:49",16.3,1.045188
43.515891,1.513369,"2013/12/08 15:18:50",16.3,1.049728
43.51588,1.513423,"2013/12/08 15:18:51",16.3,1.054268
43.515868,1.513477,"2013/12/08 15:18:52",16.3,1.058809
43.515857,1.513531,"2013/12/08 15:18:53",16.3,1.063349
43.515845,1.513585,"2013/12/08 15:18:54",16.3,1.067889
43.515832,1.513641,"2013/12/08 15:18:55",17.1,1.07264
43.515819,1.513697,"2013/12/08 15:18:56",17.1,1.07739
43.515817,1.51375,"2013/12/08 15:18:57",15.6,1.081711
43.515815,1.513804,"2013/12/08 15:18:58",15.6,1.086031
43.515812,1.513857,"2013/12/08 15:18:59",15.6,1.090351
43.51581,1.513911,"2013/12/08 15:19:00",15.6,1.094671
43.515808,1.513964,"2013/12/08 15:19:01",15.6,1.098991
